name,username,Following,Followers,Posts
Everson Silva (Tirú),tirullipa,"1,486",31M,10K
Taylor Hill,taylor_hill,508,23M,"2,404"
CARMEN VILLALOBOS,cvillaloboss,996,22M,"2,094"
Simone e Simaria,simoneesimaria,"2,236",23M,"7,177"
Gading Marten,gadiiing,"4,039",24M,10K
Arnold Schwarzenegger,schwarzenegger,184,24M,"1,040"
KIRK,dababy,12,22M,181
Russell Westbrook,russwest44,"2,100",22M,7
Finn Wolfhard,finnwolfhardofficial,923,27M,"1,135"
Paris Hilton,parishilton,"7,700",22M,10K
MrBeast,mrbeast,492,23M,182
Kobe Bryant,kobebryant,372,22M,424
Gabrielle Union-Wade,gabunion,"2,166",22M,"4,433"
Ruby Rose,rubyrose,462,22M,416
DR. SHAQUILLE O'NEAL Ed.D.,shaq,"1,917",29M,"3,671"
Alyssa Soebandono,ichasoebandono,494,22M,"1,968"
OFFSET,offsetyrn,855,22M,50
Oprah,oprah,4,23M,"1,296"
All and everything,cleo,"2,426",21M,"3,533"
Zaskia Adya Mecca,zaskiadyamecca,"1,002",22M,"6,655"
Mohamed Ramadan,mohamedramadanws,437,21M,"3,251"
Los Angeles Lakers,lakers,84,22M,"9,997"
Bunda Maia Mussry The Queen,maiaestiantyreal,"1,042",21M,"3,556"
Joelle Mardinian,joellemardinian,"4,594",21M,10K
Hardik Himanshu Pandya,hardikpandya93,369,25M,"1,502"
,,,,
irina shayk,irinashayk,427,22M,"1,351"
Mark Ruffalo,markruffalo,604,21M,"1,416"
Raphael Varane,raphaelvarane,213,21M,"1,119"
Megan Fox,meganfox,0,21M,154
LUCAS RANGEL,lucasranngel,"1,641",21M,"5,069"
Luciano Huck,lucianohuck,"1,383",21M,"3,452"
Chloë Grace Moretz,chloegmoretz,"3,993",23M,"2,666"
Siew Pui Yi 🤍,ms_puiyi,377,21M,777
Gisele Bündchen,gisele,202,21M,809
David Luiz,davidluiz23,"2,366",24M,"2,410"
Thalia,thalia,"5,089",21M,10K
MAKE OUT HILL,xxxtentacion,43,22M,2
Hilary Duff,hilaryduff,"1,746",25M,"2,889"
Doja Cat,dojacat,261,26M,117
Amber Rose,amberrose,"1,507",24M,158
Isco Alarcon Suarez,iscoalarcon,647,28M,522
Erling Braut Haaland,erling.haaland,282,23M,370
Peyton List,peytonlist,"1,216",21M,355
Caio Castro,caiocastro,596,21M,"2,081"
Coldplay,coldplay,60,21M,"2,408"
taraji p henson,tarajiphenson,"1,500",21M,"5,781"
Jessica Alba,jessicaalba,"7,496",21M,"4,683"
Mark Wahlberg,markwahlberg,253,21M,"1,929"
Demi 🌹,demirose,147,21M,526
Yasmine Sabri,yasmine_sabri,97,21M,"1,085"
Júlio Cocielo Estaniecki,cocielo,"1,965",21M,"1,956"
Oki Setiana Dewi,okisetianadewi,"1,420",20M,"6,666"
Suresh Raina,sureshraina3,824,23M,"2,743"
Jair M. Bolsonaro,jairmessiasbolsonaro,598,26M,"6,704"
AB de Villiers,abdevilliers17,227,21M,656
Gerard Piqué,3gerardpique,364,22M,442
Zé,zefelipecantor,761,26M,"1,082"
Rafael Vitti,rafaavitti,"2,370",21M,"2,998"
Henry Cavill,henrycavill,153,24M,540
dwyanewade,dwyanewade,"1,868",20M,"2,655"
Romeo Santos,romeosantos,0,20M,46
IRFAN HAKIM,irfanhakim75,"2,514",20M,"8,930"
Ксения Бородина,borodylia,370,21M,10K
Pooja Hegde,hegdepooja,141,23M,"1,498"
A S H L E Y G R A H A M,ashleygraham,666,20M,"3,626"
Stray Kids,realstraykids,6,24M,"3,737"
postmalone,postmalone,"1,130",24M,"1,093"
Jaden Smith,c.syresmith,146,21M,"1,750"
Taapsee Pannu,taapsee,342,21M,"2,742"
David Michigan ⚡️,davidmichigan,"3,154",23M,191
Bunga Citra Lestari,bclsinclair,"1,155",23M,"5,238"
Raditya Dika,raditya_dika,513,21M,"5,615"
Joey King,joeyking,624,19M,457
Flavia Pavanelli,flaviapavanelli,"1,241",20M,"3,185"
Mari Maria,marimaria,"1,129",21M,"3,308"
KJ Apa,kjapa,561,19M,26
Neha Rajput,neha_rajput___143,125,19M,"2,893"
13,timatiofficial,326,20M,"4,326"
lilbaby,lilbaby,"1,018",22M,136
Elissa,elissazkh,338,20M,"5,070"
Camila Queiroz,camilaqueiroz,"1,132",21M,"1,994"
Marcos Mion,marcosmion,"3,081",20M,"6,697"
Emma Roberts,emmaroberts,"3,389",20M,"1,570"
Eugenio Derbez,ederbez,488,19M,"1,476"
Lisa and Lena | Germany®,lisaandlena,708,20M,"2,337"
Hina Khan,realhinakhan,300,20M,"2,259"
Madonna,madonna,514,19M,"5,508"
Anne Curtis,annecurtissmith,"1,231",19M,"4,518"
LOVE,diddy,"1,883",20M,36
Barbara Palvin,realbarbarapalvin,325,19M,"1,922"
Iran Ferreira,luvadepedreiro,334,21M,27
Noah,ncentineo,217,17M,14
avani,avani,"1,062",19M,999
Hyun Ah,hyunah_aa,156,19M,"5,669"
Bretman (Da Baddest) Rock,bretmanrock,328,19M,"1,793"
Sidharth Malhotra,sidmalhotra,201,23M,"1,150"
Auron,auronplay,343,19M,802
LaTripleT,tinistoessel,974,21M,"2,919"
‎Mustafa Hosny مصطفى حسني‎,mustafahosnyofficial,12,20M,10K
Álvaro Morata,alvaromorata,"2,073",20M,"1,376"
Louis Tomlinson,louist91,281,19M,466
НАСТЯ ИВЛЕЕВА,_agentgirl_,516,19M,"1,114"
Lexa,lexa,"1,384",19M,"7,990"
숮이 💄💅👡👠🎀👙🌂👗🌂🎀💋💌,skuukzky,282,19M,"1,470"
TaeYeon,taeyeon_ss,48,19M,"1,107"
Sou Eu Na Vida,soueunavida,"2,846",19M,"5,018"
President Joe Biden,potus,5,21M,"1,890"
남주혁,skawngur,0,19M,625
Luisa Fernanda W,luisafernandaw,"4,139",19M,"5,547"
Timothée Chalamet,tchalamet,2,19M,102
John Cena,johncena,0,19M,"3,185"
Lucas Lucco,lucaslucco,"4,254",18M,"3,904"
Inul Daratista,inul.d,"2,081",18M,10K
hailee steinfeld,haileesteinfeld,286,21M,"1,538"
Vijay Deverakonda,thedeverakonda,0,18M,335
Vice President Kamala Harris,vp,4,18M,703
Joe Biden,joebiden,107,19M,"1,841"
ussy sulistiawaty,ussypratama,"1,209",20M,"8,562"
Baim Wong,baimwong,"2,546",18M,"4,176"
Liza Soberano,lizasoberano,519,18M,733
Antonela Roccuzzo,antonelaroccuzzo,772,32M,702
Radio Javan,radiojavan,314,19M,"9,997"
StreetArtGlobe ™ 😱,streetartglobe,240,17M,"7,232"
davikah,davikah,607,18M,10K
Jorge e Mateus,jorgeemateus,32,19M,"6,410"
Anna Kendrick,annakendrick47,166,24M,989
CHOQUEI,choquei,283,19M,"10,000"
Ricky Martin,ricky_martin,"1,827",18M,"2,074"
Otabek Umarov,otabek_muhammadalievich,13,22M,333
Jeremy Renner,jeremyrenner,291,19M,"1,430"
Iker Casillas,ikercasillas,"1,490",20M,"2,402"
Channing Tatum,channingtatum,"2,336",17M,170
Juliana Salimeni 💖,jujusalimeni,"1,065",19M,"9,777"
alghazaliköhler,alghazali7,"1,116",19M,"1,498"
nissa_sabyan,nissa_sabyan,"1,015",19M,436
Pevita Pearce,pevpearce,515,18M,"1,386"
𝓨𝒖𝒚𝒂,yuyacst,829,17M,797
Kaká,kaka,590,21M,"1,462"
Enrique Iglesias,enriqueiglesias,47,18M,381
Володимир Зеленський,zelenskiy_official,180,18M,"3,390"
Yami Gautam Dhar,yamigautam,13,18M,"1,258"
Maudy Ayunda,maudyayunda,"1,049",18M,"2,211"
BamBam,bambam1a,2,18M,488
Iggy Azalea,thenewclassic,104,18M,117
Debby Ryan,debbyryan,885,17M,"2,710"
Ahmed Helmy,ahmedhelmy,278,17M,982
Charlie Puth,charlieputh,257,18M,180
Malaika Arora,malaikaaroraofficial,621,18M,"3,426"
Chance The Rapper,chancetherapper,"2,798",18M,"2,617"
Odell Beckham Jr,obj,"1,407",18M,203
Lana Rhoades,lanarhoades,473,17M,48
Cita Rahayu,cita_citata,690,17M,"3,263"
Tessa Brooks,tessabrooks,603,20M,873
Kathryn Bernardo 🐘,bernardokath,"1,566",18M,"2,338"
NikkieTutorials,nikkietutorials,492,18M,"2,909"
Evaluna Montaner de Echeverry,evaluna,"2,042",22M,"1,587"
OR,ollaramlan,919,21M,"2,066"
FUCKJERRY,fuckjerry,"1,131",17M,"2,973"
Funny Memes,epicfunnypage,892,16M,10K
Blac Chyna 💋,blacchyna,348,17M,279
Future PLUTO Hendrix,future,0,24M,4
Gucci Mane,laflare1017,3,17M,754
IZA,iza,"2,610",17M,"2,629"
Lil Pump,lilpump,75,15M,99
Sofia Carson,sofiacarson,"1,898",21M,"1,957"
bright,bbrightvc,"1,039",17M,"1,364"
Bhabie,bhadbhabie,24,17M,66
Hélà,kyrieirving,779,19M,342
Mahe Man,mahnaz_afshar,388,18M,855
